raw_name,canonical_name,product_id
Yova Мая за хляб 42г,Yova Мая за хляб 42г,446
Zebra т.хартия 4 бр,Zebra т.хартия 4 бр,447
Zebra тоал.х-я 8бр,Zebra тоал.х-я 8бр,448
Zewa 20бр.,Zewa 20бр.,449
bev.четка зъби,bev.четка зъби,450
bevola клечки за уши,bevola клечки за уши,451
bevola.тампони.грим,bevola.тампони.грим,452
illy кафе 250 г,illy кафе 250 г,453
Авокадо Hass бр,Авокадо Hass бр,454
Авокадо бр,Авокадо Hass бр,454
Азбуката,Азбуката,455
Аквилон яйца L10 бр,Аквилон яйца L10 бр,456
Активиа Г.плод 280г,Активиа Г.плод 280г,457
Активиа Череши 280г,Активиа Череши 280г,458
Активиа Ябълки 280г,Активиа Ябълки 280г,459
Активиа круша чия150,Активиа круша чия150,460
Активиа манго чия150,Активиа манго чия150,461
Аспержи 250г бр,Аспержи 250г бр,462
БА Денвър стек,БА Денвър стек,463
"Багета,300г","Багета,300г",464
Бадем Rois 70г,Бадем Rois 70г,465
Бакпулвер 10 г,Бакпулвер 10 г,466
"Балд. газ.вода 1,5","Балд. газ.вода 1,5",467
Балкан Бисквита 200г,Балкан Бисквита 200г,468
Балсамов оцет,Балсамов оцет,469
Баничка тип пура85,Баничка тип пура85,470
Бейби чушки 200 г бр,Бейби чушки 200 г бр,471
Белла точени кори400,Белла точени кори400,472
Точени кори 400 г,Белла точени кори400,472
Бенг. огън 40см,Бенг. огън 40см,473
Бенлиан ОрЧипс 60гр,Бенлиан ОрЧипс 60гр,474
Билк.чай за деца,Билк.чай за деца,475
Био картофи 1 кг,Био картофи 1 кг,476
Био краставици късоп,Био краставици късоп,477
Био тиквички 500 г б,Био тиквички 500 г б,478
Блейз ш.я.20 г,Блейз ш.я.20 г,479
