product_id,canonical_name,display_name,brand,category,in_basket
426,Splat паста за зъби,,Splat,Основни храни,
427,Starbucks напитка,,Starbucks,Хляб и тестени,
428,"Starobrno 0,5 л кен",,Starobrno,,
429,"Stella Artois 0,33",,Stella,,
430,TS.Ножици к-кт,,TS,,
431,TS.Палитра,,TS,,
432,"Tanqueray 0,0% 0,7л",,Tanqueray,,
433,Taste itТорта560г,,Taste,Захарни и снакс,
434,Trefl Пъзел 100ел.,,Trefl,,
435,Trefl Пъзел 24 maxi,,Trefl,,
436,Twix десерт 50г,,Twix,Захарни и снакс,
437,VARTA Батерии,,Varta,Дом и бит,
438,Veda Оцет винен 500,,Veda,Основни храни,
439,Vileda Вл. Кърпа 5бр,,Vileda,Дом и бит,
440,Vileda гъба 10 бр,,Vileda,Дом и бит,
441,Vileda кухн.гъба 2бр,,Vileda,Дом и бит,
442,Wolf Maxi Mix100гр,,Wolf,,
443,Wolf Maxi Mix250гр,,Wolf,,
444,YoPRO Страчатела,,Yopro,,
445,YoPRO пудинг ванилия,,Yopro,Основни храни,
446,Yova Мая за хляб 42г,,Yova,Хляб и тестени,
447,Zebra т.хартия 4 бр,,Zebra,Дом и бит,
448,Zebra тоал.х-я 8бр,,Zebra,Хигиена и козметика,
449,Zewa 20бр.,,Zewa,,
450,bev.четка зъби,,,Хигиена и козметика,
451,bevola клечки за уши,,Bevola,Хигиена и козметика,
452,bevola.тампони.грим,,Bevola,,
453,illy кафе 250 г,,,Кафе и чай,
454,Авокадо Hass бр,,,Плодове и зеленчуци,
455,Азбуката,,Азбуката,,
456,Аквилон яйца L10 бр,,Аквилон,Яйца,
457,Активиа Г.плод 280г,,Активиа,,
458,Активиа Череши 280г,,Активиа,,
459,Активиа Ябълки 280г,,Активиа,Плодове и зеленчуци,
460,Активиа круша чия150,,Активиа,Плодове и зеленчуци,
461,Активиа манго чия150,,Активиа,,
462,Аспержи 250г бр,,Аспержи,,
463,БА Денвър стек,,БА,Месо и колбаси,
464,"Багета,300г",,,Хляб и тестени,
465,Бадем Rois 70г,,Rois,,
466,Бакпулвер 10 г,,Бакпулвер,Основни храни,
467,"Балд. газ.вода 1,5",,Балд,Вода,
468,Балкан Бисквита 200г,,Балкан,Захарни и снакс,
469,Балсамов оцет,,Балсамов,Основни храни,
470,Баничка тип пура85,,Баничка,Хляб и тестени,
471,Бейби чушки 200 г бр,,Бейби,Плодове и зеленчуци,
472,Белла точени кори400,,Белла,,
473,Бенг. огън 40см,,Бенг,,
474,Бенлиан ОрЧипс 60гр,,Бенлиан,Захарни и снакс,
475,Билк.чай за деца,,Билк,Кафе и чай,
476,Био картофи 1 кг,,,Плодове и зеленчуци,
477,Био краставици късоп,,,Плодове и зеленчуци,
478,Био тиквички 500 г б,,,Плодове и зеленчуци,
479,Блейз ш.я.20 г,,Блейз,,
